,fecha_hora,zona_alta,zona_media,zona_baja
1,10/20/2024 10:11:00,0.015,-0.008,-0.026
2,10/20/2024 10:12:00,0.010,-0.007,-0.028
3,10/20/2024 10:13:00,0.011,-0.009,-0.026
4,10/20/2024 10:14:00,0.014,-0.008,-0.027
5,10/20/2024 10:15:00,0.011,-0.009,-0.028
6,10/20/2024 10:16:00,0.011,-0.008,-0.034
7,10/20/2024 10:17:00,0.011,-0.009,-0.031
8,10/20/2024 10:18:00,0.011,-0.005,-0.030
9,10/20/2024 10:19:00,0.015,-0.008,-0.030
10,10/20/2024 10:20:00,0.012,-0.008,-0.028
11,10/20/2024 10:21:00,0.011,-0.005,-0.029
12,10/20/2024 10:22:00,0.011,-0.010,-0.027
13,10/20/2024 10:23:00,0.011,-0.004,-0.028
14,10/20/2024 10:24:00,0.011,-0.006,-0.033
15,10/20/2024 10:25:00,0.012,-0.010,-0.027
16,10/20/2024 10:26:00,0.011,-0.006,-0.029
17,10/20/2024 10:27:00,0.013,-0.008,-0.030
18,10/20/2024 10:28:00,0.011,-0.005,-0.027
19,10/20/2024 10:29:00,0.009,-0.005,-0.029
20,10/20/2024 10:30:00,0.009,-0.008,-0.027
21,10/20/2024 10:31:00,0.013,-0.005,-0.030
22,10/20/2024 10:32:00,0.011,-0.003,-0.026
23,10/20/2024 10:33:00,0.013,-0.005,-0.026
24,10/20/2024 10:34:00,0.013,-0.005,-0.031
25,10/20/2024 10:35:00,0.012,-0.007,-0.028
26,10/20/2024 10:36:00,0.012,-0.005,-0.028
27,10/20/2024 10:37:00,0.010,-0.007,-0.030
28,10/20/2024 10:38:00,-0.032,-0.009,-0.029
29,10/20/2024 10:39:00,-0.026,-0.044,-0.029
30,10/20/2024 10:40:00,-0.004,-0.026,-0.040
31,10/20/2024 10:41:00,-0.030,-0.019,-0.040
32,10/20/2024 10:42:00,-0.028,-0.036,-0.058
33,10/20/2024 10:43:00,-0.024,-0.029,-0.065
34,10/20/2024 10:44:00,-0.022,-0.036,-0.021
35,10/20/2024 10:45:00,-0.022,-0.014,-0.019
36,10/20/2024 10:46:00,-0.022,-0.013,-0.020
37,10/20/2024 10:47:00,0.005,-0.014,-0.020
38,10/20/2024 10:48:00,0.004,-0.017,-0.022
39,10/20/2024 10:49:00,0.005,-0.013,-0.020
40,10/20/2024 10:50:00,0.005,-0.017,-0.020
41,10/20/2024 10:51:00,0.005,-0.013,-0.021
42,10/20/2024 10:52:00,0.006,-0.012,-0.021
43,10/20/2024 10:53:00,0.003,-0.014,-0.021
44,10/20/2024 10:54:00,0.003,-0.011,-0.020
45,10/20/2024 10:55:00,0.004,-0.016,-0.022
46,10/20/2024 10:56:00,0.005,-0.013,-0.023
47,10/20/2024 10:57:00,0.005,-0.020,-0.021
48,10/20/2024 10:58:00,0.003,-0.016,-0.023
49,10/20/2024 10:59:00,0.005,-0.019,-0.025
50,10/20/2024 11:00:00,0.004,-0.017,-0.018
51,10/20/2024 11:01:00,0.004,-0.014,-0.022
52,10/20/2024 11:02:00,0.004,-0.016,-0.020
53,10/20/2024 11:03:00,0.006,-0.018,-0.021
54,10/20/2024 11:04:00,0.005,-0.014,-0.019
55,10/20/2024 11:05:00,0.005,-0.018,-0.021
56,10/20/2024 11:06:00,0.003,-0.015,-0.021
57,10/20/2024 11:07:00,0.005,-0.015,-0.021
58,10/20/2024 11:08:00,0.005,-0.018,-0.022
59,10/20/2024 11:09:00,0.005,-0.019,-0.019
60,10/20/2024 11:10:00,0.004,-0.013,-0.020
61,10/20/2024 11:11:00,0.005,-0.019,-0.019
62,10/20/2024 11:12:00,0.005,-0.012,-0.019
63,10/20/2024 11:13:00,0.005,-0.016,-0.022
64,10/20/2024 11:14:00,0.005,-0.020,-0.021
65,10/20/2024 11:15:00,0.003,-0.018,-0.019
66,10/20/2024 11:16:00,0.005,-0.013,-0.020
67,10/20/2024 11:17:00,0.004,-0.016,-0.019
68,10/20/2024 11:18:00,0.003,-0.018,-0.023
69,10/20/2024 11:19:00,0.005,-0.009,-0.017
70,10/20/2024 11:20:00,0.006,-0.013,-0.021
71,10/20/2024 11:21:00,0.005,-0.014,-0.021
72,10/20/2024 11:22:00,0.006,-0.017,-0.019
73,10/20/2024 11:23:00,0.003,-0.017,-0.022
74,10/20/2024 11:24:00,0.006,-0.020,-0.024
75,10/20/2024 11:25:00,0.004,-0.016,-0.020
76,10/20/2024 11:26:00,0.005,-0.013,-0.019
77,10/20/2024 11:27:00,0.006,-0.015,-0.022
78,10/20/2024 11:28:00,0.004,-0.018,-0.019
79,10/20/2024 11:29:00,0.007,-0.010,-0.017
80,10/20/2024 11:30:00,0.006,-0.014,-0.021
81,10/20/2024 11:31:00,0.007,-0.017,-0.018
82,10/20/2024 11:32:00,0.004,-0.016,-0.022
83,10/20/2024 11:33:00,0.005,-0.015,-0.019
84,10/20/2024 11:34:00,0.005,-0.014,-0.019
85,10/20/2024 11:35:00,0.005,-0.016,-0.022
86,10/20/2024 11:36:00,0.003,-0.013,-0.023
87,10/20/2024 11:37:00,0.004,-0.015,-0.020
88,10/20/2024 11:38:00,0.006,-0.012,-0.022
89,10/20/2024 11:39:00,0.005,-0.018,-0.021
90,10/20/2024 11:40:00,0.006,-0.014,-0.019
91,10/20/2024 11:41:00,0.003,-0.018,-0.019
92,10/20/2024 11:42:00,0.006,-0.012,-0.021
93,10/20/2024 11:43:00,0.006,-0.014,-0.019
94,10/20/2024 11:44:00,0.006,-0.016,-0.019
95,10/20/2024 11:45:00,0.004,-0.016,-0.019
96,10/20/2024 11:46:00,0.005,-0.018,-0.023
97,10/20/2024 11:47:00,0.007,-0.013,-0.021
98,10/20/2024 11:48:00,0.005,-0.016,-0.020
99,10/20/2024 11:49:00,0.006,-0.012,-0.020
100,10/20/2024 11:50:00,0.006,-0.013,-0.020
101,10/20/2024 11:51:00,0.007,-0.014,-0.020
102,10/20/2024 11:52:00,0.005,-0.014,-0.021
103,10/20/2024 11:53:00,0.006,-0.011,-0.018
104,10/20/2024 11:54:00,0.005,-0.015,-0.022
105,10/20/2024 11:55:00,0.004,-0.013,-0.020
106,10/20/2024 11:56:00,0.006,-0.018,-0.019
107,10/20/2024 11:57:00,0.007,-0.014,-0.017
108,10/20/2024 11:58:00,0.005,-0.018,-0.021
109,10/20/2024 11:59:00,0.004,-0.015,-0.021
110,10/20/2024 12:00:00,0.006,-0.013,-0.020
111,10/20/2024 12:01:00,0.005,-0.014,-0.021
112,10/20/2024 12:02:00,0.005,-0.012,-0.018
113,10/20/2024 12:03:00,0.008,-0.015,-0.022
114,10/20/2024 12:04:00,0.004,-0.012,-0.020
115,10/20/2024 12:05:00,0.005,-0.012,-0.020
116,10/20/2024 12:06:00,0.005,-0.016,-0.019
117,10/20/2024 12:07:00,0.004,-0.014,-0.019
118,10/20/2024 12:08:00,0.005,-0.016,-0.024
119,10/20/2024 12:09:00,0.005,-0.018,-0.017
120,10/20/2024 12:10:00,0.005,-0.016,-0.021
121,10/20/2024 12:11:00,0.006,-0.015,-0.020
122,10/20/2024 12:12:00,0.002,-0.018,-0.022
123,10/20/2024 12:13:00,0.004,-0.013,-0.020
124,10/20/2024 12:14:00,0.007,-0.013,-0.020
125,10/20/2024 12:15:00,0.004,-0.012,-0.019
126,10/20/2024 12:16:00,0.006,-0.013,-0.022
127,10/20/2024 12:17:00,0.007,-0.014,-0.022
128,10/20/2024 12:18:00,0.005,-0.018,-0.018
129,10/20/2024 12:19:00,0.005,-0.011,-0.022
130,10/20/2024 12:20:00,0.004,-0.018,-0.020
131,10/20/2024 12:21:00,0.005,-0.013,-0.020
132,10/20/2024 12:22:00,0.005,-0.017,-0.018
133,10/20/2024 12:23:00,0.006,-0.016,-0.019
134,10/20/2024 12:24:00,0.005,-0.016,-0.022
135,10/20/2024 12:25:00,0.005,-0.013,-0.020
136,10/20/2024 12:26:00,0.005,-0.019,-0.018
137,10/20/2024 12:27:00,0.004,-0.016,-0.024
138,10/20/2024 12:28:00,0.006,-0.015,-0.019
139,10/20/2024 12:29:00,0.006,-0.016,-0.020
140,10/20/2024 12:30:00,0.006,-0.013,-0.022
141,10/20/2024 12:31:00,0.005,-0.013,-0.022
142,10/20/2024 12:32:00,0.005,-0.017,-0.020
143,10/20/2024 12:33:00,0.004,-0.011,-0.018
144,10/20/2024 12:34:00,0.005,-0.013,-0.020
145,10/20/2024 12:35:00,0.006,-0.016,-0.019
146,10/20/2024 12:36:00,0.002,-0.020,-0.018
147,10/20/2024 12:37:00,0.006,-0.012,-0.019
148,10/20/2024 12:38:00,0.009,-0.015,-0.019
149,10/20/2024 12:39:00,0.010,-0.015,-0.019
150,10/20/2024 12:40:00,0.005,-0.014,-0.015
151,10/20/2024 12:41:00,0.005,-0.010,-0.020
152,10/20/2024 12:42:00,0.007,-0.012,-0.021
153,10/20/2024 12:43:00,0.007,-0.015,-0.019
154,10/20/2024 12:44:00,0.007,-0.013,-0.024
155,10/20/2024 12:45:00,0.004,-0.013,-0.020
156,10/20/2024 12:46:00,0.006,-0.015,-0.019
157,10/20/2024 12:47:00,0.007,-0.013,-0.020
158,10/20/2024 12:48:00,0.006,-0.017,-0.017
159,10/20/2024 12:49:00,0.003,-0.014,-0.017
160,10/20/2024 12:50:00,0.004,-0.014,-0.021
161,10/20/2024 12:51:00,0.005,-0.014,-0.015
162,10/20/2024 12:52:00,0.005,-0.014,-0.021
163,10/20/2024 12:53:00,0.005,-0.015,-0.019
164,10/20/2024 12:54:00,0.005,-0.016,-0.018
165,10/20/2024 12:55:00,0.006,-0.016,-0.017
166,10/20/2024 12:56:00,0.005,-0.014,-0.020
167,10/20/2024 12:57:00,0.006,-0.011,-0.021
168,10/20/2024 12:58:00,0.005,-0.013,-0.018
169,10/20/2024 12:59:00,0.005,-0.012,-0.017
170,10/20/2024 13:00:00,0.006,-0.011,-0.017
171,10/20/2024 13:01:00,0.005,-0.011,-0.018
172,10/20/2024 13:02:00,0.001,-0.012,-0.021
173,10/20/2024 13:03:00,0.007,-0.013,-0.020
174,10/20/2024 13:04:00,0.007,-0.011,-0.018
175,10/20/2024 13:05:00,0.006,-0.013,-0.020
176,10/20/2024 13:06:00,0.007,-0.017,-0.020
177,10/20/2024 13:07:00,0.008,-0.011,-0.020
178,10/20/2024 13:08:00,0.008,-0.014,-0.018
179,10/20/2024 13:09:00,0.008,-0.013,-0.020
180,10/20/2024 13:10:00,0.005,-0.015,-0.019
181,10/20/2024 13:11:00,0.007,-0.013,-0.017
182,10/20/2024 13:12:00,0.008,-0.013,-0.017
183,10/20/2024 13:13:00,0.007,-0.013,-0.018
184,10/20/2024 13:14:00,0.005,-0.016,-0.020
185,10/20/2024 13:15:00,0.005,-0.012,-0.017
186,10/20/2024 13:16:00,0.008,-0.018,-0.021
187,10/20/2024 13:17:00,0.007,-0.011,-0.017
188,10/20/2024 13:18:00,0.008,-0.012,-0.020
189,10/20/2024 13:19:00,0.009,-0.018,-0.020
190,10/20/2024 13:20:00,0.007,-0.017,-0.020
191,10/20/2024 13:21:00,0.005,-0.013,-0.018
192,10/20/2024 13:22:00,0.006,-0.016,-0.018
193,10/20/2024 13:23:00,0.006,-0.011,-0.017
194,10/20/2024 13:24:00,0.005,-0.014,-0.019
195,10/20/2024 13:25:00,0.006,-0.012,-0.020
196,10/20/2024 13:26:00,0.007,-0.012,-0.018
197,10/20/2024 13:27:00,0.005,-0.013,-0.022
198,10/20/2024 13:28:00,0.005,-0.013,-0.019
199,10/20/2024 13:29:00,0.007,-0.013,-0.022
200,10/20/2024 13:30:00,0.006,-0.013,-0.018
201,10/20/2024 13:31:00,0.007,-0.012,-0.020
202,10/20/2024 13:32:00,0.009,-0.016,-0.018
203,10/20/2024 13:33:00,0.005,-0.016,-0.020
204,10/20/2024 13:34:00,0.004,-0.014,-0.019
205,10/20/2024 13:35:00,0.003,-0.014,-0.017
206,10/20/2024 13:36:00,0.005,-0.020,-0.016
207,10/20/2024 13:37:00,0.005,-0.011,-0.018
208,10/20/2024 13:38:00,0.005,-0.013,-0.019
209,10/20/2024 13:39:00,0.007,-0.010,-0.019
210,10/20/2024 13:40:00,0.006,-0.020,-0.018
211,10/20/2024 13:41:00,0.007,-0.011,-0.013
212,10/20/2024 13:42:00,0.007,-0.013,-0.018
213,10/20/2024 13:43:00,0.006,-0.014,-0.020
214,10/20/2024 13:44:00,0.009,-0.011,-0.018
215,10/20/2024 13:45:00,0.009,-0.015,-0.020
216,10/20/2024 13:46:00,0.008,-0.013,-0.020
217,10/20/2024 13:47:00,0.010,-0.012,-0.020
218,10/20/2024 13:48:00,0.007,-0.017,-0.020
219,10/20/2024 13:49:00,0.006,-0.013,-0.019
220,10/20/2024 13:50:00,0.005,-0.013,-0.020
221,10/20/2024 13:51:00,0.008,-0.014,-0.017
222,10/20/2024 13:52:00,0.006,-0.017,-0.017
223,10/20/2024 13:53:00,0.008,-0.012,-0.017
224,10/20/2024 13:54:00,0.005,-0.014,-0.016
225,10/20/2024 13:55:00,0.005,-0.016,-0.022
226,10/20/2024 13:56:00,0.006,-0.013,-0.017
227,10/20/2024 13:57:00,0.009,-0.012,-0.018
228,10/20/2024 13:58:00,0.004,-0.017,-0.018
229,10/20/2024 13:59:00,0.007,-0.013,-0.018
230,10/20/2024 14:00:00,0.008,-0.018,-0.018
231,10/20/2024 14:01:00,0.006,-0.011,-0.020
232,10/20/2024 14:02:00,0.006,-0.016,-0.019
233,10/20/2024 14:03:00,0.007,-0.012,-0.020
234,10/20/2024 14:04:00,0.007,-0.016,-0.018
235,10/20/2024 14:05:00,0.009,-0.012,-0.020
236,10/20/2024 14:06:00,0.006,-0.015,-0.019
237,10/20/2024 14:07:00,0.007,-0.013,-0.016
238,10/20/2024 14:08:00,0.007,-0.013,-0.019
239,10/20/2024 14:09:00,0.007,-0.018,-0.018
240,10/20/2024 14:10:00,0.006,-0.014,-0.016
241,10/20/2024 14:11:00,0.007,-0.010,-0.015
242,10/20/2024 14:12:00,0.007,-0.011,-0.017
243,10/20/2024 14:13:00,0.007,-0.016,-0.017
244,10/20/2024 14:14:00,0.006,-0.016,-0.017
245,10/20/2024 14:15:00,0.004,-0.013,-0.017
246,10/20/2024 14:16:00,0.005,-0.018,-0.019
247,10/20/2024 14:17:00,0.008,-0.014,-0.018
248,10/20/2024 14:18:00,0.008,-0.012,-0.018
249,10/20/2024 14:19:00,0.007,-0.016,-0.016
250,10/20/2024 14:20:00,0.009,-0.012,-0.016
251,10/20/2024 14:21:00,0.009,-0.014,-0.015
252,10/20/2024 14:22:00,0.007,-0.014,-0.016
253,10/20/2024 14:23:00,0.006,-0.018,-0.017
254,10/20/2024 14:24:00,0.008,-0.015,-0.015
255,10/20/2024 14:25:00,0.009,-0.014,-0.017
256,10/20/2024 14:26:00,0.007,-0.011,-0.016
257,10/20/2024 14:27:00,0.006,-0.011,-0.018
258,10/20/2024 14:28:00,0.007,-0.014,-0.017
259,10/20/2024 14:29:00,0.007,-0.013,-0.018
260,10/20/2024 14:30:00,0.008,-0.009,-0.014
261,10/20/2024 14:31:00,0.005,-0.014,-0.016
262,10/20/2024 14:32:00,0.005,-0.013,-0.017
263,10/20/2024 14:33:00,0.010,-0.017,-0.018
264,10/20/2024 14:34:00,0.006,-0.014,-0.018
265,10/20/2024 14:35:00,0.005,-0.016,-0.018
266,10/20/2024 14:36:00,0.006,-0.013,-0.016
267,10/20/2024 14:37:00,0.005,-0.013,-0.016
268,10/20/2024 14:38:00,0.004,-0.016,-0.017
269,10/20/2024 14:39:00,0.004,-0.016,-0.016
270,10/20/2024 14:40:00,0.006,-0.016,-0.018
271,10/20/2024 14:41:00,0.007,-0.012,-0.014
272,10/20/2024 14:42:00,0.006,-0.014,-0.015
273,10/20/2024 14:43:00,0.005,-0.013,-0.016
274,10/20/2024 14:44:00,0.007,-0.014,-0.016
275,10/20/2024 14:45:00,0.005,-0.017,-0.019
276,10/20/2024 14:46:00,0.006,-0.011,-0.014
277,10/20/2024 14:47:00,0.006,-0.014,-0.016
278,10/20/2024 14:48:00,0.004,-0.016,-0.016
279,10/20/2024 14:49:00,0.005,-0.012,-0.020
280,10/20/2024 14:50:00,0.005,-0.016,-0.016
281,10/20/2024 14:51:00,0.004,-0.013,-0.018
282,10/20/2024 14:52:00,0.008,-0.011,-0.016
283,10/20/2024 14:53:00,0.006,-0.012,-0.014
284,10/20/2024 14:54:00,0.006,-0.013,-0.018
285,10/20/2024 14:55:00,0.006,-0.016,-0.018
286,10/20/2024 14:56:00,0.006,-0.013,-0.016
287,10/20/2024 14:57:00,0.005,-0.016,-0.017
288,10/20/2024 14:58:00,0.005,-0.013,-0.017
289,10/20/2024 14:59:00,0.006,-0.016,-0.016
290,10/20/2024 15:00:00,0.007,-0.010,-0.018
291,10/20/2024 15:01:00,0.009,-0.013,-0.020
292,10/20/2024 15:02:00,0.005,-0.016,-0.018
293,10/20/2024 15:03:00,0.003,-0.010,-0.016
294,10/20/2024 15:04:00,0.007,-0.013,-0.018
295,10/20/2024 15:05:00,0.004,-0.013,-0.015
296,10/20/2024 15:06:00,0.007,-0.012,-0.017
297,10/20/2024 15:07:00,0.007,-0.012,-0.020
298,10/20/2024 15:08:00,0.005,-0.013,-0.015
299,10/20/2024 15:09:00,0.006,-0.014,-0.019
300,10/20/2024 15:10:00,0.005,-0.013,-0.015
301,10/20/2024 15:11:00,0.005,-0.015,-0.014
302,10/20/2024 15:12:00,0.006,-0.016,-0.017
303,10/20/2024 15:13:00,0.005,-0.013,-0.018
304,10/20/2024 15:14:00,0.007,-0.018,-0.018
305,10/20/2024 15:15:00,0.005,-0.014,-0.019
306,10/20/2024 15:16:00,0.003,-0.013,-0.015
307,10/20/2024 15:17:00,0.003,-0.014,-0.017
308,10/20/2024 15:18:00,0.006,-0.013,-0.019
309,10/20/2024 15:19:00,0.004,-0.014,-0.015
310,10/20/2024 15:20:00,0.005,-0.013,-0.017
311,10/20/2024 15:21:00,0.006,-0.011,-0.017
312,10/20/2024 15:22:00,0.006,-0.012,-0.016
313,10/20/2024 15:23:00,0.004,-0.016,-0.018
314,10/20/2024 15:24:00,0.005,-0.016,-0.016
315,10/20/2024 15:25:00,0.005,-0.017,-0.017
316,10/20/2024 15:26:00,0.001,-0.014,-0.021
317,10/20/2024 15:27:00,0.007,-0.011,-0.019
318,10/20/2024 15:28:00,0.006,-0.013,-0.017
319,10/20/2024 15:29:00,0.007,-0.011,-0.016
320,10/20/2024 15:30:00,0.003,-0.016,-0.018
321,10/20/2024 15:31:00,0.007,-0.016,-0.019
322,10/20/2024 15:32:00,0.005,-0.016,-0.016
323,10/20/2024 15:33:00,0.004,-0.014,-0.017
324,10/20/2024 15:34:00,0.004,-0.014,-0.014
325,10/20/2024 15:35:00,0.007,-0.015,-0.017
326,10/20/2024 15:36:00,0.004,-0.016,-0.019
327,10/20/2024 15:37:00,0.007,-0.014,-0.017
328,10/20/2024 15:38:00,0.004,-0.012,-0.017
329,10/20/2024 15:39:00,0.004,-0.015,-0.019
330,10/20/2024 15:40:00,0.006,-0.016,-0.018
331,10/20/2024 15:41:00,0.007,-0.011,-0.019
332,10/20/2024 15:42:00,0.005,-0.011,-0.017
333,10/20/2024 15:43:00,0.004,-0.011,-0.016
334,10/20/2024 15:44:00,0.004,-0.015,-0.019
335,10/20/2024 15:45:00,0.001,-0.013,-0.017
336,10/20/2024 15:46:00,0.007,-0.013,-0.017
337,10/20/2024 15:47:00,0.005,-0.010,-0.017
338,10/20/2024 15:48:00,0.005,-0.013,-0.022
339,10/20/2024 15:49:00,0.005,-0.016,-0.015
340,10/20/2024 15:50:00,0.006,-0.020,-0.018
341,10/20/2024 15:51:00,0.004,-0.012,-0.017
342,10/20/2024 15:52:00,0.004,-0.011,-0.015
343,10/20/2024 15:53:00,0.004,-0.016,-0.018
344,10/20/2024 15:54:00,0.004,-0.013,-0.017
345,10/20/2024 15:55:00,0.003,-0.016,-0.017
346,10/20/2024 15:56:00,0.004,-0.016,-0.015
347,10/20/2024 15:57:00,0.002,-0.018,-0.017
348,10/20/2024 15:58:00,0.005,-0.017,-0.018
349,10/20/2024 15:59:00,0.000,-0.014,-0.018
350,10/20/2024 16:00:00,0.002,-0.013,-0.018
351,10/20/2024 16:01:00,0.001,-0.017,-0.020
352,10/20/2024 16:02:00,0.008,-0.015,-0.014
353,10/20/2024 16:03:00,0.000,-0.014,-0.017
354,10/20/2024 16:04:00,0.004,-0.016,-0.019
355,10/20/2024 16:05:00,0.003,-0.018,-0.017
356,10/20/2024 16:06:00,0.004,-0.017,-0.018
357,10/20/2024 16:07:00,0.003,-0.016,-0.019
358,10/20/2024 16:08:00,0.003,-0.020,-0.019